Campaign_ID,Date,Ad_Type,Clicks,Impressions,Conversions,CTR (Click-Through Rate),Conversion_Rate,Revenue_Created,Cost,Owner,Likes,Dislikes,Fraud,Title
1,2023-10-1,Display,937,5263,29,8.22%,6.94%,738,175,0xADF52AFBF595DC4AA39389B82D3A668B50803FAD,435,264,0,Food
2,2023-10-2,Social,243,8545,11,2.13%,2.30%,944,400,0xD9B4533FB2C0294D6489AFDF9A9CFCB789920C22,447,81,1,Social Service
3,2023-10-3,Social,132,6685,45,9.53%,2.94%,574,170,0xE05082F37BCD84A9936814F616AAA0E6FC64F7B3,762,734,1,Environment
4,2023-10-4,Display,749,9957,20,5.56%,9.48%,511,353,0x6FF9F10A6022F5F62E3756172FA5C328143CC54D,437,900,1,Environment
5,2023-10-5,Search,354,8022,29,1.07%,1.05%,203,195,0x616F38FDE0189BA51F0EA693922F366E68E23CE0,157,257,0,Education
6,2023-10-6,Display,876,3060,13,7.98%,9.57%,889,75,0xD444E930FE99AEE214330224F3AF7A17DE752F1E,103,60,0,Social Service
7,2023-10-7,Display,382,5141,12,2.26%,1.53%,968,341,0xF17AE936A7E0D8B759486C2D895EA7D1052DF22F,98,979,0,Sports
8,2023-10-8,Search,434,3118,49,6.72%,1.67%,826,445,0x148D2498F68A8204BA205A74ED6145C8D8C74F27,635,268,1,Social Service
9,2023-10-9,Social,809,2137,46,9.10%,8.96%,497,294,0xE06CAC25413BAA4BD8A98E5720A96078F8A5F196,451,138,0,Health
10,2023-10-10,Social,622,3610,43,8.23%,4.44%,115,459,0xABA5DB363153C34100F0179DFF503391F4AD4D9F,774,947,0,Sports
11,2023-10-11,Search,905,9152,35,2.49%,2.95%,238,413,0x7CF128B51A9239BE3FEB004B4E74E41D83A9E6F0,947,458,0,Education
12,2023-10-12,Search,762,9770,19,2.86%,3.61%,360,191,0x896F194EF6BAA7D5EA25FCBFFE33E8AE24E8F19A,557,880,1,Sports
13,2023-10-13,Display,164,9666,26,4.61%,9.15%,975,425,0xDB6E30BA390DFF325C1B46D001D9F115DD3191E1,414,334,0,Social Service
14,2023-10-14,Display,479,9729,25,9.34%,1.12%,403,332,0x0FB7BF9A4E945E000771F586486218D0DEA461A8,632,724,0,Education
15,2023-10-15,Social,590,5877,9,2.64%,4.68%,820,61,0x4CAB7269748F8B372BCFFA2208F15E50B647EB30,204,957,1,Social Service
16,2023-10-16,Social,759,4304,46,4.83%,7.04%,842,310,0x2BEB8F431C7B19E1639D8F1FBB91E2499B1EB1B9,429,334,0,Food
17,2023-10-17,Social,159,9750,9,4.15%,6.71%,351,355,0x70D10143AA4C8395EDDE3F0FC6B05DB9DE222341,705,635,1,Social Service
18,2023-10-18,Display,197,3716,25,4.66%,3.53%,699,124,0xD54C2CC0AFC68B79AA49E4D21BFF5FAFE98B2BCB,737,285,0,Shelter
19,2023-10-19,Display,596,5157,7,1.91%,1.45%,470,232,0xF3A86CE52F9F4C46090066A9E87765C717F2F8B1,744,12,1,Social Service
